Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,β0_nss,β1_nss,β2_nss,β3_nss,tau0_nss,tau1_nss,residual_nss,β0_ns,β1_ns,β2_ns,tau_ns,residual_ns
7/22/22,2.15,2.29,2.49,,2.97,3.01,2.98,2.93,2.87,2.85,2.77,3.23,3.0,0.5710926386937547,-0.5469335956028023,-0.37804150020009486,-0.06779599611829068,1375.077587520826,796.5117507359862,0.000181277872754257,0.6269168973214634,-0.6025377997006817,-0.6639704239880454,545.1181048092897,0.0004418842150328636
7/21/22,2.15,2.3,2.48,,3.0,3.11,3.1,3.07,3.0,2.99,2.91,3.33,3.08,0.6989953909789182,-0.6730709281798438,-0.19505698712799238,-0.22984554941143498,1355.9053524071896,878.9184758852189,0.0005298737962984694,0.46285756335593226,-0.4375918690052415,-0.36426890701996667,1584.8900416036968,0.00016462790775832105
7/20/22,1.92,2.29,2.51,,3.04,3.18,3.25,3.25,3.18,3.15,3.04,3.43,3.17,0.5134548075311623,-0.4857172224906179,0.33730127010152505,-0.759607156953876,1030.008215069195,954.8245694445981,0.0002415989159821803,0.9244507708718719,-0.8969300968981686,-0.9421390009732062,1730.2004012573861,0.0002944143633624523
7/19/22,1.93,2.29,2.52,,3.06,3.18,3.23,3.22,3.14,3.11,3.01,3.42,3.17,0.5390078623526531,-0.5127846580071584,-0.8406886334141979,0.48393324119074105,1119.1176518238256,1555.5032509025955,0.00026382066015042446,0.6248122379173277,-0.5996979383103558,-0.5813024443776398,1309.575868934546,0.0003003600365961198
7/18/22,1.96,2.28,2.5,,3.02,3.13,3.15,3.15,3.06,3.05,2.96,3.39,3.14,0.4994021897581773,-0.47146773157011024,-0.8597482484563659,0.40118123147212453,932.8653271012367,1070.6580813590826,0.00021292789248793383,0.40392516361528247,-0.37847574520576,-0.3196273547268902,2985.909422167847,0.00024639094058550665
7/15/22,1.98,2.26,2.37,,2.94,3.12,3.13,3.14,3.05,3.03,2.93,3.34,3.1,0.69068659453886,-0.666838231371213,-0.43360066831120836,-0.2813745325580661,900.208656712837,1157.205815239992,0.0003339059587456909,0.3014139864318418,-0.2726304634876621,-0.29845054744735466,514.4253534970189,0.0002469142148903703
7/14/22,1.99,2.32,2.4,,2.93,3.16,3.15,3.16,3.06,3.05,2.96,3.36,3.11,0.7131738205615774,-0.6873601158648861,-0.4379453125955474,-0.1546843451421283,1405.5695633842677,949.0230944526675,0.0002169175419887845,0.5573601714397258,-0.5326814444420439,-0.49178551467794385,1201.004275244003,0.0002488866271987242
7/13/22,1.78,2.2,2.39,,2.96,3.21,3.13,3.14,3.02,3.0,2.91,3.35,3.08,0.600517023022043,-0.5724819988815176,-0.1284691948453315,-0.5404372465974597,930.656402019341,1135.1200440344871,0.00024238377683074455,0.6581267605940038,-0.6300632792406589,-0.5710205948957046,1920.5130393492764,0.00022660036941857318
7/12/22,1.63,2.01,2.22,,2.78,3.07,3.03,3.07,3.01,3.01,2.96,3.37,3.13,0.026207365351802125,0.003160705274739434,0.17187718364106402,-0.0651748734592527,1254.927755244731,941.1721712857145,0.0004111039245914078,0.3796984685798628,-0.35351529395967957,-0.25800947554458964,1657.49579130184,0.00024293763859600527
7/11/22,1.58,1.95,2.18,,2.79,2.97,3.07,3.09,3.05,3.06,2.99,3.43,3.18,0.51939011494097,-0.4923151743274601,0.4934942793101804,-0.45588007082966076,1981.932145039012,979.2313104602811,0.00037715522803286104,0.22852283565890566,-0.20686117270080404,-0.11458770158201588,1124.80636261507,0.00036963318871595526
