Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,β0_nss,β1_nss,β2_nss,β3_nss,tau0_nss,tau1_nss,residual_nss,β0_ns,β1_ns,β2_ns,tau_ns,residual_ns
7/22/22,2.15,2.29,2.49,,2.97,3.01,2.98,2.93,2.87,2.85,2.77,3.23,3.0,0.01077359460065828,0.015039863135637332,-0.005183996088212381,0.05386686902408937,119.98050117887081,185.00820632302677,7.377704734681418e-05,0.029374799588456305,-0.0126029008310241,0.01623993184840577,3.076552961903538,1.6236741452477223e-05
7/21/22,2.15,2.3,2.48,,3.0,3.11,3.1,3.07,3.0,2.99,2.91,3.33,3.08,0.14604379793025007,-0.12106963437018568,-0.0517009052117874,-0.332235730882484,29.779466387019433,169.87430548111814,0.00010524570437926798,0.029789305708496375,-0.009967980977241213,0.017553516443562702,5.462349604139037,1.7463476887105118e-05
7/20/22,1.92,2.29,2.51,,3.04,3.18,3.25,3.25,3.18,3.15,3.04,3.43,3.17,-0.04288735115453757,0.06900826215653907,0.08581446589175155,0.053446349963206574,223.67688529382525,363.2194815252468,0.00013416672937145135,0.029214242334813872,-0.01050532404277199,0.028890196984541067,7.683881512328676,3.3132203904261586e-05
7/19/22,1.93,2.29,2.52,,3.06,3.18,3.23,3.22,3.14,3.11,3.01,3.42,3.17,0.047458301823356364,-0.026644454241682533,-0.04030655953480547,0.04970194568555424,81.71920184616454,17.168823531048915,5.006984629607648e-05,0.007085964242845185,0.018793722223064142,0.0573911274564267,153.35207493296235,0.0001295484068886665
7/18/22,1.96,2.28,2.5,,3.02,3.13,3.15,3.15,3.06,3.05,2.96,3.39,3.14,0.08104496852529929,-0.05816935660478928,-0.28309176597901586,0.20928291098818988,98.17291128327469,65.6679899207522,0.00010402191354345693,0.030785927438139196,-0.013752699184333885,0.017295563020443827,3.8821176382554805,1.4747437718732216e-05
7/15/22,1.98,2.26,2.37,,2.94,3.12,3.13,3.14,3.05,3.03,2.93,3.34,3.1,0.12249083638276906,-0.24382053667814393,0.5248694041793569,-0.6141248014302589,-0.0004753461986730656,60.05638776862875,0.0,0.023396769681107356,0.0014724614813773254,0.029333701587057122,78.76817162246107,0.00010278232181994063
7/14/22,1.99,2.32,2.4,,2.93,3.16,3.15,3.16,3.06,3.05,2.96,3.36,3.11,0.06303855673162354,-0.04217184746916848,-0.4666013993660921,0.4239510779025828,63.15525310807442,51.69869104948881,9.741143781790261e-05,0.030855150704746953,-0.011795917904836294,0.013250324718435055,4.654443880634874,1.6606000223779078e-05
7/13/22,1.78,2.2,2.39,,2.96,3.21,3.13,3.14,3.02,3.0,2.91,3.35,3.08,0.13978595313627273,-0.11666597611479919,-0.27459840002007824,0.12220456713087449,180.1537222863541,79.39680840186797,0.00013740941010641049,0.028772226086329768,-0.010054634286612792,0.02694812359254896,7.69122707530345,3.747386817243668e-05
7/12/22,1.63,2.01,2.22,,2.78,3.07,3.03,3.07,3.01,3.01,2.96,3.37,3.13,0.02344293667021587,-0.0012280077709629091,0.13646893223751128,-0.10197283890865852,64.27079366412482,64.27315081900836,0.00013440459777257037,0.026153334241981192,-0.007640207891587974,0.029417244586909193,12.791070135825002,8.898554727336073e-05
7/11/22,1.58,1.95,2.18,,2.79,2.97,3.07,3.09,3.05,3.06,2.99,3.43,3.18,0.017353635595070603,0.005056649561310253,0.09492740023550693,-0.04662468881963428,100.01660073407905,100.00161709318581,0.00014562655679947268,0.02965991715465645,-0.014939003896178572,0.025914138387264262,6.70091565618769,3.0986237361320294e-05
7/8/22,1.57,1.92,1.98,,2.68,2.96,3.12,3.14,3.13,3.16,3.09,3.53,3.27,-0.01859475378689955,0.04062509685872305,-0.38121959695747976,0.5044834162979424,116.07633064475411,125.42618630797136,0.00016774017448589445,0.032684820985121696,-0.021322172751734675,0.010560700620658683,3.3846900733655825,1.4119159181942446e-05
